epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,801.309,1.18828,1.90388,1.60654,0.26294,0.31129,0.15533,0.05705,2.18408,3.51773,2.5199,0.000664466,0.000664466,0.000664466
2,1587.43,1.34992,1.64124,1.74963,0.23095,0.28624,0.15969,0.06066,2.17988,3.09979,2.85792,0.00130478,0.00130478,0.00130478
3,2373.93,1.36086,1.51928,1.74868,0.39398,0.30579,0.22259,0.1083,1.87489,3.93522,2.36692,0.00191869,0.00191869,0.00191869
4,3157.21,1.30589,1.44422,1.70674,0.48382,0.35262,0.32467,0.15349,1.99078,2.60335,2.45812,0.0018812,0.0018812,0.0018812
5,3957.36,1.25883,1.36583,1.65566,0.58994,0.36463,0.39573,0.21626,1.69101,2.16748,2.07961,0.0018416,0.0018416,0.0018416
6,4752.13,1.20525,1.27943,1.62091,0.62366,0.39945,0.46602,0.26563,1.65389,1.95553,1.99739,0.001802,0.001802,0.001802
7,5531.18,1.17222,1.19802,1.59086,0.56045,0.40496,0.45867,0.2707,1.66499,1.8108,2.04746,0.0017624,0.0017624,0.0017624
8,6310.81,1.13631,1.15419,1.56094,0.60559,0.42424,0.47857,0.31328,1.49554,1.88464,1.89779,0.0017228,0.0017228,0.0017228
9,7098.96,1.1112,1.13611,1.5433,0.51404,0.44353,0.46656,0.29324,1.60068,1.89927,2.00155,0.0016832,0.0016832,0.0016832
10,7877.92,1.11278,1.11189,1.53021,0.65698,0.46006,0.52165,0.32368,1.53937,1.62842,1.92393,0.0016436,0.0016436,0.0016436
11,8654.65,1.09658,1.07965,1.51076,0.74067,0.49036,0.6145,0.38628,1.42985,1.39287,1.80705,0.001604,0.001604,0.001604
12,9431.36,1.07744,1.05056,1.49617,0.69225,0.5124,0.60202,0.38442,1.4051,1.42451,1.7372,0.0015644,0.0015644,0.0015644
13,10214.8,1.04525,1.01745,1.48135,0.70323,0.47658,0.57109,0.35989,1.42775,1.56907,1.79395,0.0015248,0.0015248,0.0015248
14,10993.6,1.05067,1.00325,1.48118,0.69342,0.50964,0.60361,0.37941,1.41805,1.41703,1.78439,0.0014852,0.0014852,0.0014852
15,11776.1,1.03558,1.00317,1.47244,0.75266,0.47934,0.60289,0.39417,1.35652,1.42694,1.74199,0.0014456,0.0014456,0.0014456
16,12553.6,1.02589,0.97852,1.45644,0.70454,0.56198,0.64564,0.40977,1.32989,1.30569,1.70626,0.001406,0.001406,0.001406
17,13335.3,1.00478,0.95133,1.44615,0.8054,0.53994,0.63338,0.40544,1.36254,1.38073,1.74008,0.0013664,0.0013664,0.0013664
18,14112.2,1.01136,0.93463,1.4495,0.72034,0.55923,0.66287,0.42996,1.32618,1.26456,1.73485,0.0013268,0.0013268,0.0013268
19,14891.4,0.99947,0.91704,1.43771,0.63001,0.60606,0.65401,0.41654,1.35869,1.33299,1.73831,0.0012872,0.0012872,0.0012872
20,15672.1,0.97771,0.8968,1.4192,0.7007,0.59229,0.66383,0.4375,1.3235,1.26529,1.69563,0.0012476,0.0012476,0.0012476
21,16448.6,0.97303,0.89975,1.41816,0.73206,0.51515,0.61944,0.40834,1.33422,1.36102,1.72153,0.001208,0.001208,0.001208
22,17225.7,0.96767,0.87881,1.40373,0.79163,0.56749,0.69257,0.44955,1.3078,1.22509,1.67319,0.0011684,0.0011684,0.0011684
23,18002.1,0.96014,0.86668,1.40479,0.74855,0.61508,0.6994,0.4474,1.34025,1.18318,1.7077,0.0011288,0.0011288,0.0011288
24,18777.6,0.94917,0.84269,1.39439,0.65405,0.5978,0.6617,0.43585,1.29908,1.24427,1.66865,0.0010892,0.0010892,0.0010892
25,19554.2,0.93918,0.84217,1.38787,0.75977,0.61861,0.7092,0.46806,1.22578,1.10739,1.63768,0.0010496,0.0010496,0.0010496
26,20331.9,0.92125,0.81977,1.37588,0.76106,0.60331,0.69527,0.45587,1.27003,1.16104,1.63983,0.00101,0.00101,0.00101
27,21110.6,0.91636,0.816,1.36724,0.76583,0.63966,0.72763,0.46911,1.28242,1.11146,1.64763,0.0009704,0.0009704,0.0009704
28,21886.5,0.92173,0.81093,1.36554,0.80201,0.63636,0.74702,0.4682,1.29485,1.11222,1.65025,0.0009308,0.0009308,0.0009308
29,22660.8,0.91126,0.80079,1.35902,0.79143,0.6281,0.72538,0.46084,1.26204,1.1027,1.6445,0.0008912,0.0008912,0.0008912
30,23436.5,0.91768,0.78622,1.36094,0.7751,0.59815,0.7084,0.47001,1.25905,1.1168,1.6472,0.0008516,0.0008516,0.0008516
31,24214.1,0.89137,0.77945,1.35141,0.81405,0.56749,0.70589,0.46713,1.24246,1.10222,1.6288,0.000812,0.000812,0.000812
32,24994.4,0.88078,0.75565,1.34235,0.79989,0.62534,0.73248,0.49559,1.21302,1.05765,1.591,0.0007724,0.0007724,0.0007724
33,25770.5,0.88218,0.75878,1.33415,0.8039,0.61157,0.72764,0.4848,1.22524,1.08837,1.60588,0.0007328,0.0007328,0.0007328
34,26546.9,0.8769,0.74282,1.33426,0.79771,0.65179,0.7561,0.49583,1.20077,1.0475,1.58716,0.0006932,0.0006932,0.0006932
35,27323.4,0.87527,0.7297,1.33049,0.791,0.64187,0.74784,0.49344,1.20627,1.07879,1.57847,0.0006536,0.0006536,0.0006536
36,28099.5,0.86637,0.73265,1.32747,0.80581,0.64463,0.74159,0.48884,1.20543,1.05336,1.57645,0.000614,0.000614,0.000614
37,28876.7,0.86245,0.72405,1.32292,0.79374,0.68871,0.76715,0.51667,1.19191,0.96607,1.56756,0.0005744,0.0005744,0.0005744
38,29653.3,0.83718,0.69751,1.30098,0.79172,0.65289,0.76149,0.50058,1.19034,0.99566,1.56817,0.0005348,0.0005348,0.0005348
39,30430.6,0.83559,0.69446,1.29777,0.81956,0.65289,0.7679,0.52004,1.17114,0.97221,1.56215,0.0004952,0.0004952,0.0004952
40,31210.4,0.82886,0.68217,1.29634,0.74346,0.7185,0.76108,0.51769,1.17336,0.95206,1.54585,0.0004556,0.0004556,0.0004556
41,31974,0.74142,0.54749,1.30867,0.80109,0.66116,0.76498,0.51043,1.18273,0.95331,1.57746,0.000416,0.000416,0.000416
42,32736.4,0.72458,0.51345,1.28471,0.77839,0.68701,0.76654,0.50733,1.17607,0.97207,1.57194,0.0003764,0.0003764,0.0003764
