epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,715.547,1.13999,4.7863,0.38988,1.07116,1.253,0.76727,0.6851,0.74995,0.48121,0.53005,0.42022,0.33839,0.0735,1.34014,5.27497,0.48445,1.38691,1.53798,0.000663793,0.000663793,0.000663793
2,1429.12,1.32085,5.44221,0.41904,1.29197,1.38665,0.71988,0.62142,0.68375,0.39193,0.47638,0.36942,0.24615,0.04853,1.57389,5.79194,0.48792,1.94105,1.67335,0.00127777,0.00127777,0.00127777
3,2170.39,1.35073,5.50728,0.41856,1.32791,1.40361,0.68728,0.69143,0.68408,0.41482,0.47994,0.45279,0.32112,0.07594,1.42502,5.15345,0.45043,2.11093,1.50332,0.00183895,0.00183895,0.00183895
4,2930.56,1.31775,5.45785,0.41469,1.3169,1.3844,0.7638,0.64647,0.74305,0.46106,0.51466,0.40932,0.31261,0.07509,1.37436,5.15038,0.47998,1.33781,1.47098,0.0017624,0.0017624,0.0017624
5,3682.92,1.28089,5.35925,0.40761,1.26381,1.3582,0.80446,0.73805,0.81771,0.53801,0.55528,0.44844,0.33516,0.0825,1.27562,4.93329,0.41489,1.16487,1.40237,0.0016832,0.0016832,0.0016832
6,4401.43,1.23536,5.19912,0.39953,1.20629,1.33752,0.81835,0.66569,0.77374,0.49703,0.58541,0.44528,0.38143,0.09844,1.31773,4.94039,0.43615,1.36291,1.47461,0.001604,0.001604,0.001604
7,22467.4,1.1927,5.09491,0.39507,1.15986,1.31203,0.81274,0.72343,0.81486,0.55645,0.60435,0.4595,0.39563,0.10517,1.18305,4.81062,0.41924,1.19397,1.36387,0.0015248,0.0015248,0.0015248
8,26946,1.15721,4.9437,0.3845,1.11627,1.2888,0.82328,0.77756,0.85341,0.6,0.63188,0.53457,0.46565,0.12064,1.12526,4.57972,0.4023,1.01683,1.31268,0.0014456,0.0014456,0.0014456
9,27686.5,1.13796,4.91183,0.37824,1.09514,1.27824,0.8275,0.78658,0.86779,0.62055,0.64751,0.55433,0.47516,0.12177,1.0762,4.51209,0.39601,1.00481,1.28025,0.0013664,0.0013664,0.0013664
10,28420.6,1.1139,4.78139,0.37282,1.06825,1.26045,0.85527,0.78919,0.87576,0.62747,0.70946,0.59779,0.55181,0.15569,1.06477,4.28183,0.38349,0.96208,1.24881,0.0012872,0.0012872,0.0012872
11,29150.8,1.0967,4.74874,0.36812,1.05929,1.25731,0.85459,0.80284,0.87648,0.63453,0.67687,0.60687,0.53523,0.14745,1.05025,4.24395,0.38653,0.91955,1.24805,0.001208,0.001208,0.001208
12,29884.6,1.06244,4.62101,0.36603,1.0334,1.23543,0.86276,0.79929,0.88553,0.64816,0.67999,0.59107,0.54724,0.15447,1.01873,4.34054,0.37422,0.90462,1.23406,0.0011288,0.0011288,0.0011288
13,30651,1.05368,4.59577,0.3588,1.00018,1.23507,0.84234,0.79534,0.87815,0.64628,0.6845,0.58205,0.54739,0.15652,1.00455,4.19206,0.37731,0.88954,1.22554,0.0010496,0.0010496,0.0010496
14,31384.7,1.03243,4.53212,0.35655,0.98396,1.22058,0.86725,0.8234,0.90829,0.68488,0.72299,0.6211,0.59938,0.1763,0.95261,4.06923,0.36585,0.8116,1.18707,0.0009704,0.0009704,0.0009704
15,32120.1,1.00717,4.49344,0.35545,0.95806,1.20779,0.85739,0.82903,0.9037,0.68082,0.68711,0.63137,0.57996,0.17022,0.951,4.02691,0.36122,0.8085,1.17904,0.0008912,0.0008912,0.0008912
16,32862,0.9253,4.01449,0.36672,0.84013,1.17943,0.86067,0.82576,0.90074,0.68514,0.74463,0.63248,0.60894,0.18743,0.9318,3.91218,0.3533,0.80191,1.17792,0.000812,0.000812,0.000812
17,33619,0.89012,3.91001,0.36067,0.79675,1.15425,0.8608,0.84536,0.9086,0.69156,0.72487,0.66574,0.61547,0.19289,0.9086,3.84022,0.34931,0.78175,1.1566,0.0007328,0.0007328,0.0007328
18,34370.7,0.872,3.82162,0.35502,0.7613,1.14309,0.86055,0.85342,0.91438,0.70782,0.76056,0.64633,0.63183,0.19173,0.89121,3.79373,0.34432,0.75032,1.13899,0.0006536,0.0006536,0.0006536
