epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,812.583,0.937,4.10632,0.3327,0.85394,1.15841,0.86512,0.82813,0.90305,0.68443,0.7447,0.65666,0.63553,0.19031,0.92509,3.8447,0.34354,0.77642,1.15546,0.000663793,0.000663793,0.000663793
2,1567.29,1.01032,4.43613,0.34722,0.94224,1.19887,0.85691,0.80212,0.88371,0.64103,0.67417,0.60095,0.5363,0.14858,1.03831,4.22656,0.35972,0.91803,1.25286,0.0013129,0.0013129,0.0013129
3,2312.98,1.06845,4.61968,0.36055,1.01496,1.23726,0.83256,0.77598,0.85886,0.60112,0.67078,0.56262,0.51516,0.13702,1.11344,4.46855,0.40743,1.02592,1.28358,0.0019444,0.0019444,0.0019444
4,3070.44,1.09892,4.714,0.36821,1.04868,1.25033,0.82317,0.78538,0.86192,0.61048,0.60819,0.53536,0.43301,0.11323,1.07845,4.4426,0.39496,0.95825,1.26419,0.0019208,0.0019208,0.0019208
5,3859.43,1.09324,4.74282,0.3664,1.04252,1.24644,0.82502,0.7665,0.85034,0.6081,0.62342,0.53373,0.46184,0.12989,1.05121,4.42004,0.39347,1.06442,1.25215,0.0018944,0.0018944,0.0018944
6,4612.69,1.08793,4.68321,0.36239,1.03383,1.24885,0.82731,0.78933,0.86994,0.61808,0.61748,0.54277,0.45407,0.12478,1.08565,4.50722,0.40139,0.97472,1.28448,0.001868,0.001868,0.001868
7,5361.71,1.07133,4.64379,0.36312,1.01528,1.23845,0.83618,0.78704,0.86522,0.62419,0.67488,0.57574,0.52747,0.1404,1.05315,4.28982,0.4127,0.95483,1.2565,0.0018416,0.0018416,0.0018416
8,6110.43,1.05959,4.58739,0.35958,1.00736,1.23147,0.85252,0.78111,0.86875,0.6299,0.66342,0.58989,0.54397,0.15681,1.05822,4.23222,0.36739,0.94274,1.26241,0.0018152,0.0018152,0.0018152
9,6858.61,1.05456,4.57308,0.35475,0.98249,1.22137,0.8641,0.79136,0.8863,0.65311,0.70037,0.597,0.55042,0.14938,1.009,4.22394,0.36298,0.89757,1.2169,0.0017888,0.0017888,0.0017888
10,7601.79,1.05248,4.51948,0.35464,0.9779,1.22182,0.83418,0.7819,0.86324,0.62629,0.67589,0.59976,0.56418,0.17141,1.04084,4.18881,0.37606,1.00101,1.24991,0.0017624,0.0017624,0.0017624
11,8356.7,1.04166,4.51346,0.35085,0.98263,1.21948,0.8545,0.774,0.87636,0.64772,0.71011,0.58554,0.55269,0.16259,1.01874,4.23117,0.39077,0.94366,1.23595,0.001736,0.001736,0.001736
12,9114.68,1.03191,4.45497,0.35203,0.97742,1.21107,0.83053,0.81193,0.87794,0.65402,0.70661,0.61241,0.57753,0.16652,1.00107,4.21471,0.3584,0.87533,1.20713,0.0017096,0.0017096,0.0017096
13,9861.29,1.02193,4.4536,0.34688,0.95264,1.20893,0.85122,0.83185,0.89851,0.65167,0.68909,0.63809,0.56975,0.16604,1.00851,4.00418,0.35329,0.83054,1.19668,0.0016832,0.0016832,0.0016832
14,10615.3,1.01181,4.4094,0.34646,0.94623,1.20661,0.87536,0.79912,0.89732,0.66251,0.71185,0.60224,0.5725,0.16756,1.00076,4.16565,0.35647,0.84712,1.21892,0.0016568,0.0016568,0.0016568
15,11368.1,1.00539,4.45351,0.3505,0.93264,1.19844,0.85197,0.80166,0.8797,0.66214,0.69219,0.61572,0.55824,0.16233,0.95572,4.1146,0.36769,0.89614,1.18197,0.0016304,0.0016304,0.0016304
16,12133.8,1.0012,4.40895,0.34731,0.94004,1.19754,0.83052,0.81511,0.8877,0.67058,0.70626,0.6132,0.57384,0.17157,0.96971,4.06342,0.37088,0.83825,1.19235,0.001604,0.001604,0.001604
17,12914.1,1.00515,4.41164,0.34352,0.93975,1.19575,0.86571,0.82418,0.90068,0.67379,0.72605,0.64955,0.61936,0.1894,0.94785,3.97642,0.36161,0.82965,1.16708,0.0015776,0.0015776,0.0015776
18,13669.8,0.99387,4.38538,0.34158,0.93617,1.18969,0.84899,0.83919,0.90447,0.68661,0.70872,0.63543,0.57686,0.17501,0.93608,3.90448,0.34819,0.81262,1.17176,0.0015512,0.0015512,0.0015512
19,14429.3,0.98441,4.33065,0.33856,0.91663,1.18406,0.85769,0.82632,0.90417,0.6877,0.72216,0.64876,0.60183,0.18058,0.92175,3.92291,0.34923,0.80696,1.14872,0.0015248,0.0015248,0.0015248
20,15226.9,0.98351,4.30294,0.34011,0.91701,1.18127,0.86198,0.83485,0.90426,0.68714,0.6945,0.65231,0.58821,0.18167,0.92586,3.91897,0.35095,0.79824,1.16621,0.0014984,0.0014984,0.0014984
21,16019,0.9699,4.27159,0.33671,0.90954,1.17916,0.84187,0.82023,0.89183,0.68271,0.70693,0.64797,0.58956,0.17706,0.93237,3.93632,0.3555,0.84027,1.17287,0.001472,0.001472,0.001472
22,16779.1,0.9748,4.27581,0.33472,0.89071,1.17855,0.87175,0.82176,0.90541,0.68466,0.68839,0.63107,0.55994,0.1733,0.92912,3.90925,0.34662,0.78977,1.15324,0.0014456,0.0014456,0.0014456
23,17556.6,0.96338,4.22805,0.33402,0.88465,1.16838,0.85638,0.83287,0.9008,0.68173,0.7269,0.66147,0.60988,0.18691,0.92585,3.79422,0.3456,0.79814,1.15922,0.0014192,0.0014192,0.0014192
24,18387.5,0.95452,4.18624,0.33405,0.88238,1.16783,0.86382,0.84512,0.91109,0.69482,0.72635,0.65824,0.62995,0.19685,0.91724,3.80266,0.34234,0.7659,1.14775,0.0013928,0.0013928,0.0013928
25,19164.5,0.95748,4.223,0.33264,0.88421,1.17199,0.86009,0.8546,0.9086,0.70052,0.73431,0.67595,0.6474,0.20606,0.89793,3.79039,0.34066,0.77984,1.14004,0.0013664,0.0013664,0.0013664
26,19922,0.94203,4.16624,0.32847,0.88157,1.16312,0.85925,0.84418,0.90931,0.70436,0.73765,0.67764,0.64875,0.20471,0.87392,3.68002,0.33624,0.76471,1.12712,0.00134,0.00134,0.00134
27,20675.5,0.9498,4.18345,0.33092,0.87132,1.1667,0.86874,0.86559,0.91875,0.71464,0.73881,0.70091,0.6598,0.21022,0.86775,3.67971,0.33813,0.73875,1.11961,0.0013136,0.0013136,0.0013136
28,21398.8,0.94174,4.17211,0.3287,0.86644,1.16373,0.8694,0.84955,0.91426,0.71091,0.75184,0.69735,0.67507,0.21665,0.86836,3.68255,0.34071,0.73689,1.11584,0.0012872,0.0012872,0.0012872
29,22123.8,0.92871,4.10282,0.33041,0.86071,1.15424,0.87315,0.85855,0.91717,0.71514,0.74568,0.68985,0.65874,0.21659,0.85704,3.67986,0.34356,0.71831,1.10985,0.0012608,0.0012608,0.0012608
30,22850.9,0.93125,4.13649,0.3296,0.86317,1.15282,0.86477,0.8546,0.91857,0.71273,0.72645,0.66456,0.61734,0.19003,0.86974,3.72601,0.33642,0.73159,1.11696,0.0012344,0.0012344,0.0012344
31,23569.2,0.92567,4.0661,0.33163,0.84766,1.15339,0.88148,0.8467,0.91796,0.71374,0.75935,0.69316,0.66087,0.20819,0.87575,3.66649,0.33584,0.72418,1.12251,0.001208,0.001208,0.001208
32,24296.3,0.93627,4.09013,0.32563,0.8516,1.15679,0.87633,0.85658,0.92282,0.71011,0.74844,0.70565,0.67075,0.21185,0.87737,3.66631,0.33073,0.71119,1.11336,0.0011816,0.0011816,0.0011816
33,25040.8,0.91209,4.0585,0.32411,0.83395,1.14323,0.87741,0.84156,0.91997,0.71875,0.74465,0.66812,0.63215,0.20164,0.85112,3.72734,0.3324,0.71222,1.09954,0.0011552,0.0011552,0.0011552
34,25790.6,0.92283,4.07322,0.32337,0.84156,1.14821,0.87493,0.84576,0.91768,0.71904,0.75775,0.6958,0.67745,0.21492,0.85047,3.62322,0.32824,0.72441,1.09878,0.0011288,0.0011288,0.0011288
35,26541,0.91267,4.036,0.32038,0.82464,1.14407,0.86156,0.86092,0.91956,0.72342,0.75673,0.70176,0.68485,0.22446,0.8554,3.57099,0.32987,0.69268,1.09948,0.0011024,0.0011024,0.0011024
36,27289.9,0.91311,4.0053,0.31891,0.84124,1.14911,0.89471,0.84828,0.92537,0.72343,0.76045,0.69972,0.68188,0.21832,0.85293,3.61422,0.32887,0.69321,1.10327,0.001076,0.001076,0.001076
37,28034.9,0.90184,3.9997,0.32378,0.822,1.14129,0.89298,0.82752,0.92115,0.72033,0.76272,0.69656,0.67732,0.21606,0.8547,3.6239,0.33004,0.70511,1.10437,0.0010496,0.0010496,0.0010496
38,28785,0.89894,3.95371,0.31859,0.81081,1.13225,0.8741,0.85618,0.92348,0.72834,0.78027,0.70292,0.70536,0.23435,0.83528,3.5496,0.33496,0.6889,1.0969,0.0010232,0.0010232,0.0010232
39,29537.2,0.89104,3.94479,0.31983,0.80321,1.12881,0.8806,0.85421,0.92004,0.72722,0.78329,0.70091,0.68185,0.22049,0.84073,3.58275,0.32837,0.69253,1.09704,0.0009968,0.0009968,0.0009968
40,30292.5,0.88618,3.97998,0.31923,0.80192,1.13408,0.88448,0.855,0.92657,0.73392,0.76537,0.71632,0.68393,0.21856,0.82575,3.55406,0.32509,0.66761,1.08846,0.0009704,0.0009704,0.0009704
41,31043,0.89032,3.89414,0.31845,0.79755,1.13153,0.89623,0.84629,0.92452,0.73503,0.76476,0.71286,0.68748,0.22184,0.81706,3.54834,0.32285,0.67841,1.07814,0.000944,0.000944,0.000944
42,31795.8,0.88756,3.94389,0.31747,0.81174,1.1317,0.8823,0.85381,0.9231,0.73603,0.76984,0.70288,0.6758,0.21793,0.82495,3.57771,0.32765,0.68809,1.086,0.0009176,0.0009176,0.0009176
43,32546.4,0.87291,3.93342,0.31934,0.79496,1.12687,0.87688,0.85542,0.9269,0.73678,0.76595,0.70729,0.68907,0.22179,0.83253,3.54686,0.32554,0.66408,1.093,0.0008912,0.0008912,0.0008912
44,33297.6,0.87006,3.86048,0.31334,0.78418,1.1248,0.88644,0.85184,0.92733,0.73879,0.78847,0.69956,0.68646,0.22909,0.82004,3.50169,0.32498,0.66274,1.08384,0.0008648,0.0008648,0.0008648
45,34053.5,0.87321,3.84281,0.31291,0.77603,1.12559,0.90142,0.84544,0.9288,0.73621,0.78131,0.71671,0.69846,0.23211,0.82584,3.50861,0.32196,0.66938,1.08281,0.0008384,0.0008384,0.0008384
46,34809.1,0.85975,3.87972,0.31395,0.79022,1.1207,0.87867,0.86922,0.92731,0.7399,0.7796,0.71869,0.6985,0.22657,0.81041,3.49343,0.32223,0.66066,1.08663,0.000812,0.000812,0.000812
47,35564.8,0.86401,3.86329,0.31314,0.77739,1.11493,0.89964,0.84473,0.92793,0.7449,0.77829,0.71707,0.69306,0.22885,0.80699,3.45218,0.31986,0.65235,1.07419,0.0007856,0.0007856,0.0007856
